Brand,Model,Year,VehicleAge,UsedOrNew,Transmission,DriveType,FuelType,EngineSizeL,Cylinders,FuelConsumption_L100km,Kilometres,ExteriorColour,InteriorColour,State,BodyType,Doors,Seats,Price,PricePerYearAge
BMW,118I,2014,9,USED,Automatic,Rear,Premium,1.6,4.0,5.8,57000.0,White,Black,NSW,Hatchback,5.0,5.0,16990.0,1887.7777777777778
Mercedes-Benz,C-CLASS,2012,11,USED,Automatic,Other,Unleaded,,,,162775.0,Black,,NSW,Other,,,16999.0,1545.3636363636363
Toyota,HiAce,2013,10,USED,Automatic,Other,Diesel,,,,191173.0,Silver,Black,NSW,Commercial,,,30900.0,3090.0
Subaru,Impreza,2007,16,USED,Manual,Other,Unleaded,,,,146077.0,Black,Grey,NSW,Other,,,34888.0,2180.5
Audi,Q7,2014,9,USED,Automatic,AWD,Diesel,4.1,8.0,9.2,199941.0,Black,,NSW,SUV,4.0,7.0,28999.0,3222.1111111111113
Suzuki,Celerio,2015,8,USED,Automatic,Front,Unleaded,1.0,3.0,4.8,23316.0,Blue,,NSW,Hatchback,5.0,4.0,13880.0,1735.0
Subaru,Liberty,2016,7,USED,Automatic,AWD,Premium,3.6,6.0,9.9,226127.0,White,,NSW,Sedan,4.0,5.0,17950.0,2564.285714285714
Toyota,C-HR,2019,4,USED,Manual,Front,Premium,1.2,4.0,5.4,58185.0,Yellow,,NSW,SUV,4.0,5.0,33888.0,8472.0
Subaru,Forester,2021,2,USED,Automatic,AWD,Unleaded,2.5,4.0,7.4,16136.0,Silver,,NSW,SUV,4.0,5.0,39990.0,19995.0
Mazda,CX-3,2015,8,USED,Automatic,AWD,Unleaded,2.0,4.0,6.7,31531.0,White,,NSW,SUV,4.0,5.0,23950.0,2993.75
Jeep,Grand,2018,5,USED,Automatic,4WD,Diesel,3.0,6.0,7.5,76472.0,White,Black,NSW,SUV,4.0,5.0,41950.0,8390.0
